"Names","source_file","Sample Details","Test Name","Result","Units","Absorbance","Time","Manual Dil","Auto Dil","Sample ID","Nutri","Blank_avg","Ortho_blanked","Ortho_P_mg_kg"
"S34T1L3","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.081,"mg P/L",0.023153,"Tue Jan 21 20:04:31 2025",1,1,NA,1.01,0.0175,0.0635,0.471534653465347
"S34T1L9","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.272,"mg P/L",0.082497,"Tue Jan 21 20:07:06 2025",1,1,NA,1,0.0175,0.2545,1.90875
"S34T1L15","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.172,"mg P/L",0.04495,"Mon Jan 20 19:38:21 2025",1,1,NA,1.02,0.0175,0.1545,1.13602941176471
"S34T1L33","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.134,"mg P/L",0.039656,"Tue Jan 21 20:01:55 2025",1,1,NA,1.01,0.0175,0.1165,0.86509900990099
"S34T1L41","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.069,"mg P/L",0.019359,"Tue Jan 21 20:17:29 2025",1,1,NA,1.03,0.0175,0.0515,0.375
"S34T1L47","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.054,"mg P/L",0.014755,"Tue Jan 21 20:12:15 2025",1,1,NA,1.05,0.0175,0.0365,0.260714285714286
"S34T2L3","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.339,"mg P/L",0.09225,"Mon Jan 20 19:23:59 2025",1,1,NA,1.05,0.0175,0.3215,2.29642857142857
"S34T2L10","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.14,"mg P/L",0.04134,"Tue Jan 21 20:05:49 2025",1,1,NA,1.04,0.0175,0.1225,0.883413461538462
"S34T2L16","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.056,"mg P/L",0.015555,"Tue Jan 21 19:54:02 2025",1,1,NA,1.05,0.0175,0.0385,0.275
"S34T2L31","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.125,"mg P/L",0.036737,"Tue Jan 21 20:25:11 2025",1,1,NA,1.03,0.0175,0.1075,0.782766990291262
"S34T2L39","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.124,"mg P/L",0.036644,"Tue Jan 21 20:20:03 2025",1,1,NA,1.02,0.0175,0.1065,0.783088235294118
"S34T2L47","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.034,"mg P/L",0.008534,"Tue Jan 21 20:21:20 2025",1,1,NA,1.06,0.0175,0.0165,0.116745283018868
"S12T1L3","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.492,"mg P/L",0.135307,"Mon Jan 20 19:46:13 2025",1,1,NA,1.06,0.0175,0.4745,3.35731132075472
"S12T1L9","SOLOMON-OPHOS 0.5 HCL-LOT1.csv",NA,"o-Phos 1",0.852,"mg P/L",0.237166,"Mon Jan 20 19:51:45 2025",1,1,NA,1,0.0175,0.8345,6.25875
"S12T1L16","SOLOMON-OPHOS 0.5 HCL-LOT2.csv",NA,"o-Phos 1",0.332,"mg P/L",0.100832,"Tue Jan 21 20:50:16 2025",1,1,NA,1.04,0.0175,0.3145,2.26802884615385
